"Search Parameters"	"Location Name"	"Latitude"	"Longitude"	"Deaths"
	"INDIA:  ASSAM, CACHAR DISTRICT"	24.641	92.891	20
	"JAPAN:  HONSHU:  CENTRAL: MT ONTAKE"	35.789	137.488	29
	"JAPAN:  KYUSHU:  NOBEOKA"	32.386	131.945	20
	"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN"	36.372	70.738	26
	"GUINEA:  GAOUAL-KOUMBIA"	11.866	-13.529	443
	"PAPUA NEW GUINEA:  ULAWUN, RABAUL"	-5.392	151.868	10
	"CHINA:  E, HEZE-DONGMING, SHANDONG PROVINCE"	35.206	115.213	34
	"TURKEY:  ERZURUM, KARS, KHORASAN, PASINLER, NARMAN"	40.33	42.187	1342
	"PHILIPPINES:  LUZON"	18.231	120.86	16
	"PERU:  CHIMBOTE"	-4.843	-78.103	10
	"COLOMBIA:  SW, POPAYAN"	2.461	-76.686	350
	"IRAN:  TEHRAN, DAMAVOND, AMOI"	35.953	52.264	30
	"BALKANS NW:  MACEDONIA:  SKOPJE"	41.959	21.54	12
	"INDONESIA:  FLORES ISLAND:  EASTERN"	-8.405	123.08	13
	"AFGHANISTAN:  NORTHEASTERN"	36.148	69.011	500
	"YEMEN:  DHAMAR"	14.701	44.379	2800
	"EL SALVADOR:  SAN SALVADOR; GUATEMALA"	13.313	-89.339	43
	"CHINA:  SICHUAN PROVINCE:  GARZE"	31.907	99.931	10
	"MEXICO:  CHIAPAS"	17.25	-93.21	10
	"JAPAN:  HOKKAIDO, URAKAWA, HIROO"	42.158	142.361	110
	"VENEZUELA-N COLOMBIA"	8.117	-72.527	15
	"PAKISTAN: GILGIT"	35.693	73.594	220
	"IRAN:  SE, KERMAN"	30.013	57.794	3000
	"IRAN:  URUMIYEH"	37.141	45.23	10
	"PERU:  CENTRAL"	-13.166	-74.522	10
	"IRAN:  SE:  GOLBAFT"	29.913	57.715	1400
	"GREECE:  ATHENS-EASTERN GULF OF CORINTH"	38.222	22.934	22
	"ITALY:  S"	41.051	14.601	12
	"CHINA:  SICHUAN PROVINCE"	30.927	101.098	150
	"INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS"	-4.576	139.232	305
	"IRAN:  N CENTRAL, TEHRAN"	34.587	50.652	26
	"ITALY:   AVELLINO, POTENZA, CASERTA, NAPLES"	40.914	15.366	4689
	"MEXICO:  S, HUAJAPAN DE LEON, OAXACA"	18.211	-98.24	300
